Date,Open,High,Low,Close,Adj Close,Volume
2019-11-13,186.942444,189.331879,185.937943,188.258743,188.258743,7343173595
2019-11-14,188.272507,188.634598,184.992294,185.999634,185.999634,7872664470
2019-11-15,186.058167,186.251831,179.379562,180.521179,180.521179,8815678477
2019-11-16,180.499100,184.155273,179.985672,183.348358,183.348358,6789888119
2019-11-17,183.350830,188.191345,182.336807,185.119232,185.119232,7364325470
2019-11-18,185.041458,186.927155,179.175522,180.559601,180.559601,7787662111
2019-11-19,180.502457,182.528000,175.197113,177.455551,177.455551,7536699743
2019-11-20,177.415283,178.993149,175.290436,175.698349,175.698349,7205785148
2019-11-21,175.673599,176.209213,159.365128,161.462723,161.462723,8546371324
2019-11-22,161.505890,163.028091,142.344101,150.268173,150.268173,12020749863
2019-11-23,150.212219,154.101563,147.601242,153.417786,153.417786,8289198330
2019-11-24,153.430527,153.965912,142.834702,142.834702,142.834702,7782769097
2019-11-25,142.697006,150.207962,133.802338,146.476532,146.476532,10962753356
2019-11-26,146.404312,150.004761,145.216873,148.965073,148.965073,7648516297
2019-11-27,148.396820,154.887207,143.525604,153.010559,153.010559,8778095307
2019-11-28,153.069244,156.613586,151.091125,151.717575,151.717575,7346531960
2019-11-29,151.768600,156.848404,151.460434,155.304153,155.304153,7503898278
2019-11-30,155.286407,156.691299,151.225342,152.539688,152.539688,6565950867
2019-12-01,152.491928,152.491928,147.067932,151.185730,151.185730,7102780297
2019-12-02,151.175476,152.116959,147.606796,149.059158,149.059158,6670561362
2019-12-03,149.058243,150.310425,146.001678,147.956421,147.956421,6204379850
2019-12-04,147.918381,150.680817,145.000885,146.747742,146.747742,7865937093
2019-12-05,146.686493,153.155396,145.459076,149.248993,149.248993,6745910228
2019-12-06,149.396484,149.670517,147.606522,149.194443,149.194443,6458766440
2019-12-07,149.197601,149.799713,148.374771,148.768158,148.768158,5911233283
2019-12-08,148.743683,152.392929,148.313339,151.264725,151.264725,6441727251
2019-12-09,151.224396,151.913940,147.621368,148.225174,148.225174,6744206747
2019-12-10,148.179855,148.564468,144.907959,146.267044,146.267044,6859512024
2019-12-11,146.320648,147.139206,143.045364,143.608002,143.608002,7037180048
2019-12-12,143.615662,145.751648,141.436981,145.604004,145.604004,7890383412
2019-12-13,145.655685,145.857101,143.746521,144.944748,144.944748,7264810246
2019-12-14,144.953415,145.529083,142.434555,142.869232,142.869232,7048066972
2019-12-15,142.864990,143.925354,139.426956,143.114990,143.114990,7235153410
2019-12-16,143.139526,143.224854,132.456665,133.614029,133.614029,8992282118
2019-12-17,133.647186,134.011536,121.395081,122.603889,122.603889,9057166141
2019-12-18,122.656837,133.394165,119.780060,133.092194,133.092194,11864518320
2019-12-19,133.052780,134.190643,125.971664,129.321136,129.321136,9564699140
2019-12-20,129.384369,129.756302,126.985352,129.066055,129.066055,8173594150
2019-12-21,129.095963,129.147659,127.612091,128.130951,128.130951,7449064703
2019-12-22,128.098129,133.160034,127.928490,132.372513,132.372513,9121058480
2019-12-23,132.306992,134.731750,127.416718,128.614090,128.614090,9622497692
2019-12-24,128.629257,131.672287,127.308769,129.063889,129.063889,7961819689
2019-12-25,129.068497,129.068497,124.885490,126.454636,126.454636,8418019053
2019-12-26,126.486328,130.898346,125.406441,126.361221,126.361221,8600871979
2019-12-27,126.368797,128.097565,124.820808,127.214607,127.214607,8299390175
2019-12-28,127.213013,130.258163,126.899696,128.322708,128.322708,8069298610
2019-12-29,128.266876,136.811203,127.997658,134.757980,134.757980,9708776785
2019-12-30,134.796524,136.757355,131.545563,132.633484,132.633484,9796951715
2019-12-31,132.612274,133.732666,128.798157,129.610855,129.610855,8936866396
2020-01-01,129.630661,132.835358,129.198288,130.802002,130.802002,7935230330
2020-01-02,130.820038,130.820038,126.954910,127.410179,127.410179,8032709256
2020-01-03,127.411263,134.554016,126.490021,134.171707,134.171707,10476845358
2020-01-04,134.168518,136.052719,133.040558,135.069366,135.069366,7430904515
2020-01-05,135.072098,139.410202,135.045624,136.276779,136.276779,7526675353
2020-01-06,136.305542,144.328186,136.079636,144.304153,144.304153,9093747120
2020-01-07,144.311996,145.001770,140.488876,143.543991,143.543991,9257954671
2020-01-08,143.487823,146.828003,138.268204,141.258133,141.258133,9387194956
2020-01-09,141.155777,141.393982,136.236404,138.979202,138.979202,7697325347
2020-01-10,138.967041,144.167328,135.520401,143.963776,143.963776,9084816202
2020-01-11,143.409103,146.480911,142.207962,142.927109,142.927109,9332208590
2020-01-12,143.032547,146.145859,142.707642,145.873932,145.873932,8528167453
2020-01-13,146.220139,146.791229,142.907135,144.226593,144.226593,8378529469
2020-01-14,144.251053,167.681549,144.064926,165.955353,165.955353,16712318373
2020-01-15,165.734619,170.425674,161.109619,166.230682,166.230682,15173694057
2020-01-16,166.332825,167.058151,159.709641,164.391006,164.391006,13735193017
2020-01-17,164.489380,173.069214,162.775604,170.779953,170.779953,14997091825
2020-01-18,170.747726,178.528778,166.789017,175.365677,175.365677,14929342255
2020-01-19,175.467590,177.247635,163.676865,166.969849,166.969849,13713374132
2020-01-20,166.904129,169.114883,162.331604,167.120514,167.120514,11144529787
2020-01-21,167.060471,169.910110,165.819717,169.697159,169.697159,9789369362
2020-01-22,169.608536,171.008698,166.774231,168.294159,168.294159,9209827927
2020-01-23,168.295700,168.312241,160.295319,162.928558,162.928558,10396868698
2020-01-24,162.899368,164.309448,156.749741,163.051178,163.051178,10657671161
2020-01-25,163.067291,163.227234,158.632477,161.283936,161.283936,8256956801
2020-01-26,161.176819,168.220322,160.281128,168.077103,168.077103,9261861589
2020-01-27,168.008850,172.922913,166.901093,170.930893,170.930893,11004476145
2020-01-28,170.884857,176.370316,170.738068,176.370316,176.370316,11772875063
2020-01-29,176.347885,178.842972,175.050339,175.050339,175.050339,10725267310
2020-01-30,174.917709,186.260483,172.374634,184.690475,184.690475,12604789338
2020-01-31,184.736908,185.405838,176.296814,180.160172,180.160172,11728616393
2020-02-01,180.113770,183.845551,179.745178,183.673950,183.673950,11569697182
2020-02-02,183.532501,193.080399,180.173950,188.617538,188.617538,14054425388
2020-02-03,188.607407,193.436890,188.012695,189.865067,189.865067,12392875241
2020-02-04,189.861725,191.111496,185.403625,189.250595,189.250595,11714191695
2020-02-05,189.299103,206.804001,188.752686,204.230240,204.230240,14865434434
2020-02-06,204.129700,214.597717,201.904068,212.339081,212.339081,16425589682
2020-02-07,212.315887,223.140930,212.304199,222.726059,222.726059,16673443564
2020-02-08,222.510971,226.588089,215.386292,223.146515,223.146515,16741203125
2020-02-09,222.982239,229.864243,222.982239,228.578568,228.578568,15031356241
2020-02-10,228.549133,229.184616,218.080048,223.522705,223.522705,16210008511
2020-02-11,223.384933,236.547134,218.617615,235.851196,235.851196,16964695963
2020-02-12,235.898224,272.398834,235.896271,265.406128,265.406128,24545049385
2020-02-13,265.052704,273.741058,258.922516,268.099243,268.099243,25801317504
2020-02-14,268.023285,285.056427,262.762512,284.217499,284.217499,23558253462
2020-02-16,264.512817,272.851044,261.658569,272.461823,272.461823,23947200512
